"id","dt","c_name","continent","nowConfirm","confirm","confirmAdd","suspect","heal","dead","confirmAddCut","confirmCompare","nowConfirmCompare","healCompare","deadCompare"
"87","30/8/2021 00:00:00","赞比亚","非洲","12176","206051","0","0","190279","3596","0","0","0","0","0"
"88","30/8/2021 00:00:00","阿尔及利亚","非洲","71544","195162","491","0","118409","5209","0","0","0","0","0"
"89","30/8/2021 00:00:00","尼日利亚","非洲","23683","191345","362","0","165208","2454","0","0","0","0","0"
"90","30/8/2021 00:00:00","吉尔吉斯斯坦","亚洲","20517","175437","0","0","152402","2518","0","0","0","0","0"
"91","30/8/2021 00:00:00","北马其顿","欧洲","18991","175330","663","0","150470","5869","0","0","0","0","0"
"92","30/8/2021 00:00:00","挪威","欧洲","138228","157040","907","0","17998","814","0","0","0","0","0"
"93","30/8/2021 00:00:00","乌兹别克斯坦","亚洲","26465","154844","0","0","127309","1070","0","0","0","0","0"
"94","30/8/2021 00:00:00","博茨瓦纳","非洲","54616","153793","0","0","96964","2213","0","0","0","0","0"
"95","30/8/2021 00:00:00","阿富汗","亚洲","63273","152960","0","0","82586","7101","0","0","0","0","0"
"96","30/8/2021 00:00:00","莫桑比克","非洲","43100","145863","139","0","100912","1851","0","0","0","0","0"
"97","30/8/2021 00:00:00","阿尔巴尼亚","欧洲","12041","144847","768","0","130314","2492","0","0","0","0","0"
"98","30/8/2021 00:00:00","拉脱维亚","欧洲","3951","142319","0","0","135795","2573","0","0","0","0","0"
"99","30/8/2021 00:00:00","爱沙尼亚","欧洲","10743","141344","0","0","129312","1289","0","0","0","0","0"
"100","30/8/2021 00:00:00","芬兰","欧洲","79069","126093","0","0","46000","1024","0","0","0","0","0"
"101","30/8/2021 00:00:00","纳米比亚","非洲","24453","124716","0","0","96891","3372","0","0","0","0","0"
"102","30/8/2021 00:00:00","津巴布韦","非洲","37042","124437","70","0","82994","4401","0","0","0","0","0"
"103","30/8/2021 00:00:00","乌干达","非洲","29108","119732","0","0","87633","2991","0","0","0","0","0"
"104","30/8/2021 00:00:00","加纳","非洲","17814","117636","0","0","98814","1008","0","0","0","0","0"
"105","30/8/2021 00:00:00","黑山","欧洲","13432","114364","556","0","99216","1716","0","0","0","0","0"
"106","30/8/2021 00:00:00","塞浦路斯","亚洲","73717","113277","208","0","39061","499","0","0","0","0","0"
"107","30/8/2021 00:00:00","萨尔瓦多","北美洲","14492","94060","0","0","76670","2898","0","0","0","0","0"
"108","30/8/2021 00:00:00","柬埔寨","亚洲","16906","92208","0","0","73421","1881","0","0","0","0","0"
"109","30/8/2021 00:00:00","卢旺达","非洲","40623","86613","371","0","44911","1079","0","0","0","0","0"
"110","30/8/2021 00:00:00","喀麦隆","非洲","46814","83425","0","0","35261","1350","0","0","0","0","0"
"111","30/8/2021 00:00:00","马尔代夫","亚洲","5470","80791","113","0","75095","226","0","0","0","0","0"
"112","30/8/2021 00:00:00","卢森堡","欧洲","2381","75517","0","0","72306","830","0","0","0","0","0"
"113","30/8/2021 00:00:00","塞内加尔","非洲","21726","72709","0","0","49234","1749","0","0","0","0","0"
"114","30/8/2021 00:00:00","新加坡","亚洲","3759","67171","0","0","63357","55","0","0","0","0","0"
"115","30/8/2021 00:00:00","牙买加","北美洲","18058","66663","929","0","47101","1504","0","0","0","0","0"
"116","30/8/2021 00:00:00","马拉维","非洲","18343","60345","32","0","39841","2161","0","0","0","0","0"
"117","30/8/2021 00:00:00","科特迪瓦","非洲","5036","55108","252","0","49642","430","0","0","0","0","0"
"118","30/8/2021 00:00:00","刚果（金）","非洲","23408","54508","0","0","30043","1057","0","0","0","0","0"
"119","30/8/2021 00:00:00","澳大利亚","大洋洲","27406","52612","1356","0","24204","1002","0","0","0","0","0"
"120","30/8/2021 00:00:00","安哥拉","非洲","6385","47168","89","0","39582","1201","0","0","0","0","0"
"121","30/8/2021 00:00:00","斐济","大洋洲","34315","46027","0","0","11233","479","0","0","0","0","0"
